,filename,v_baseline,rheobase_i,fi_fit_slope,sag,vm_for_sag,input_resistance,tau,hero_adapt,hero_avg_rate,hero_first_isi,hero_isi_cv,hero_latency,hero_mean_isi,hero_median_isi,hero_stim_amp,rheo_threshold_v,rheo_trough_v,rheo_fast_trough_v,rheo_slow_trough_v,rheo_adp_v,rheo_width,rheo_upstroke_downstroke_ratio,rheo_peak_t,rheo_fast_trough_t,rheo_trough_t,rheo_slow_trough_t,rheo_peak_v,qc_blowout_mv,qc_electrode_0_pa,qc_recording_date,qc_seal_gohm,qc_input_resistance_mohm,qc_initial_access_resistance_mohm,qc_input_access_resistance_ratio
10,sub-736890023_ses-737158405_icephys.nwb,-64.32409934997558,130.0,0.019149319156595908,0.04675742983818054,-70.76875305175781,81.8750336766243,0.026801060655782777,,2.0000400008000163,0.016859999999999986,0.0,0.07091999999999998,0.016859999999999986,0.016859999999999986,170.0,-31.90625,-52.443748474121094,-44.068748474121094,,,0.0011999999999999789,1.6741754874572259,0.7194200000000001,0.72272,0.86204,,53.056251525878906,,-57.99562454223633,2018-08-15 18:01:08,1.199635328,71.247592,5.7377899999999995,0.08053310770138028
11,sub-720619787_ses-720828198_icephys.nwb,-67.87944575718471,239.99998474121094,0.07788616828317887,0.1241661012172699,-78.25000762939453,72.09824025630951,0.019954165788283445,0.07311926811531104,6.000120002400049,0.12114000000000003,0.18456778121513748,0.053139999999999965,0.185668,0.19711999999999996,280.0,-33.468753814697266,-46.000003814697266,-43.500003814697266,,,0.0009799999999999809,1.4379844096630148,0.58816,0.5909199999999999,0.6232599999999999,,55.250003814697266,,104.5250015258789,2018-07-18 03:11:36,1.138860032,76.17636,6.0770295,0.07977579264748276
12,sub-695464588_ses-695509855_icephys.nwb,-70.83846421675248,119.99999237060547,0.07714439687004539,0.1593678742647171,-83.31250762939453,109.06253755092621,0.020926412714173264,0.9584122843713854,3.0000600012000245,0.016900000000000137,0.9584122843713854,0.055439999999999934,0.40637,0.40637,160.0,-43.593753814697266,-58.9375,-55.312503814697266,,,0.0010200000000000209,1.3708918163613724,0.62608,0.62846,0.71566,,44.90625,,103.41999816894531,2018-05-09 02:24:53,1.214651264,109.741688,7.0719175,0.06444148644770253
13,sub-592433014_ses-592598585_icephys.nwb,-67.26839423179626,150.0,0.0212570317518688,0.15163086354732513,-78.56250762939453,79.51382547616959,0.027154730539236237,,1.0000200004000082,,,0.06702000000000008,,,190.0,-42.968753814697266,-60.843753814697266,-60.718753814697266,,,0.0010200000000000209,1.230470155416609,0.6101399999999999,0.61256,0.6124799999999999,,41.843753814697266,,11.114999771118164,2017-06-01 00:26:35,1.7980942080000002,67.508832,7.5143895,0.11130972462980844
14,sub-596832620_ses-596891498_icephys.nwb,-64.66614845471504,130.0,0.10073731066726131,0.0771944522857666,-74.96875762939453,86.06770634651184,0.016007435250147865,0.058663453893409816,8.000160003200065,0.06932000000000005,0.19545128213449547,0.03971999999999998,0.12409142857142859,0.1304400000000001,170.0,-44.312503814697266,-56.687503814697266,-56.562503814697266,,,0.0009399999999999409,1.3667578361787682,0.59904,0.6016999999999999,0.60192,,47.46875,,-9.8725004196167,2017-06-21 01:10:55,2.217161984,75.800392,12.145263,0.16022691544919715
15,sub-695464588_ses-695543419_icephys.nwb,-81.78854726155599,130.0,0.06422722596711346,0.020043842494487762,-94.34375,117.03135818243027,0.01931756966694136,0.07892717377039335,8.000160003200065,0.05590000000000006,0.24606489516904212,0.08441999999999994,0.12330285714285716,0.13948000000000005,170.0,-41.46875,-56.812503814697266,-52.656253814697266,,,0.0009400000000001629,1.2758609725968324,0.9908999999999999,0.9933399999999999,1.06262,,43.906253814697266,,62.22999954223633,2018-05-09 04:08:48,3.491161344,137.3828,8.069484,0.05873722183563007
16,sub-720619787_ses-721549850_icephys.nwb,-62.52634773254395,80.0,0.10071630874030611,0.04760495573282242,-81.90625,174.37487840652466,0.04093226802766742,0.09122192160692988,5.000100002000041,0.12105999999999995,0.29690294867926653,0.052200000000000024,0.20450999999999997,0.20260999999999996,119.99999237060547,-40.5,-53.500003814697266,-50.375003814697266,,,0.0008799999999999919,1.2720427776406822,0.6186400000000001,0.6212,0.66598,,45.78125,,-18.290000915527344,2018-07-18 20:26:01,1.165229056,104.314824,9.453793,0.0906275123466632
17,sub-689168779_ses-689309047_icephys.nwb,-74.38987315784802,140.0,0.07845791985154056,0.026787281036376953,-86.625,97.18745946884155,0.021301265984287134,0.18200405400915154,6.000120002400049,0.03188000000000013,0.4014788588385777,0.08329999999999993,0.159776,0.18640000000000012,180.0,-36.3125,-50.96875,-47.281253814697266,,,0.0010799999999999699,1.2802642664996078,0.8137000000000001,0.8161400000000001,0.90252,,39.687503814697266,,37.22249984741211,2018-04-24 23:06:17,2.0171587840000003,109.21068,11.948046999999999,0.10940364989944207
18,sub-786359945_ses-786497311_icephys.nwb,-65.02980873801492,150.0,0.1965556552510361,0.019039208069443703,-75.91874694824219,99.18776899576187,0.016223796278225195,0.08473674156869918,9.000180003600073,0.03654000000000002,0.26580979843198005,0.05032000000000003,0.10755999999999998,0.11591999999999997,190.0,-35.16250228881836,-44.39375305175781,-43.17499923706055,,,0.0009200000000000319,1.223427133146309,0.62098,0.62326,0.6824,,51.6875,,-27.985624313354492,2018-11-28 07:14:24,2.719132928,89.662008,6.507274,0.07257559968989317
19,sub-676839274_ses-677094662_icephys.nwb,-70.13659558977399,390.0,0.013246532205392993,0.15033653378486633,-75.50000762939453,33.5477814078331,0.012498700836998692,,2.0000400008000163,0.005600000000000049,0.0,0.0404199999999999,0.005600000000000049,0.005600000000000049,430.0,-38.78125,-51.718753814697266,-45.875,,,0.0007999999999999119,1.1399627586564942,0.5622799999999999,0.5640399999999999,0.65848,,37.96875,,59.54249954223633,2018-03-27 22:05:03,5.673993728,62.713708,11.044703,0.17611305968385732
20,sub-727391446_ses-727397252_icephys.nwb,-70.81531270345052,100.0,0.11827159620115482,0.11112736165523529,-86.37500762939453,172.15587071010037,0.031576219314581315,0.04532530785028176,7.000140002800057,0.09660000000000002,0.15173704196445512,0.07333999999999996,0.14284666666666668,0.15227000000000002,140.0,-32.031253814697266,-53.156253814697266,-46.468753814697266,-53.156253814697266,,0.0007599999999998719,1.1094068310781868,0.69702,0.6994,0.7627200000000001,0.7627200000000001,41.0625,,56.25749969482422,2018-07-31 03:31:52,2.639870208,181.399664,7.1430605,0.03937747370910235
21,sub-774230643_ses-774429668_icephys.nwb,-67.21197458902995,80.0,0.1286692400514677,0.16805586218833923,-76.90625762939453,106.24999552965164,0.022168693360950207,0.19672542295371892,7.000140002800057,0.01971999999999996,0.4262748365172719,0.053340000000000054,0.14778666666666665,0.16928999999999994,130.0,-46.181251525878906,-56.099998474121094,-54.656253814697266,,,0.001040000000000041,1.619535950339864,0.62604,0.6291800000000001,0.7248600000000001,,49.04375076293945,,16.640625,2018-11-07 04:13:14,2.511490304,87.081808,7.13565,0.08194191374620978
22,sub-720531601_ses-720794892_icephys.nwb,-83.41144006902522,70.0,0.08125162503250072,0.06986519694328308,-99.03125762939453,135.93710958957672,0.015509493372904411,,1.0000200004000082,,,0.04848000000000008,,,110.0,-45.125003814697266,-66.21875762939453,-58.656253814697266,,,0.0009599999999998499,1.1991991592967715,0.6544000000000001,0.6572800000000001,0.7493000000000001,,34.656253814697266,,54.837501525878906,2018-07-18 00:16:37,3.4857484800000003,185.41780799999998,12.251343,0.06607425215597415
23,sub-768678784_ses-768897743_icephys.nwb,-61.96022449840199,50.0,0.23500470009400176,0.1719396859407425,-86.24375915527344,216.1581814289093,0.017283824939391974,0.04647107858352378,13.000260005200106,0.029099999999999904,0.19870893987129212,0.02960000000000007,0.07567666666666666,0.08055000000000001,90.0,-34.368751525878906,-50.349998474121094,-45.32500457763672,-50.349998474121094,-44.599998474121094,0.0008799999999999919,1.1763187084399533,0.59762,0.5997600000000001,0.64566,0.64566,45.68124771118164,,-104.5774917602539,2018-10-26 04:26:41,1.54449472,191.808464,12.863368,0.06706360987281562
24,sub-685740095_ses-685814239_icephys.nwb,-61.92085435655382,40.0,0.14786009989954593,0.02019380033016205,-89.37500762939453,304.6875,0.027537810697604862,0.03263091200620305,11.00022000440009,0.057639999999999914,0.14715705873719218,0.041160000000000085,0.08775999999999999,0.09084999999999999,80.0,-40.53125,-54.906253814697266,-50.8125,-54.906253814697266,,0.0008399999999999519,1.225057882645871,0.65174,0.65422,0.6821200000000001,0.6821200000000001,45.500003814697266,,25.707500457763672,2018-04-18 05:36:35,1.1295494400000001,184.633904,19.840138,0.10745663483343774
